fips,variable,value
08007,pct_clay,23.7862190030269
08009,pct_clay,25.9200100031254
08011,pct_clay,25.9432608907164
08013,pct_clay,26.1914015647577
08014,pct_clay,26.5956135832627
08015,pct_clay,20.0164005269803
08017,pct_clay,23.44669666609
08019,pct_clay,11.9661783488744
08021,pct_clay,22.5333763478455
08023,pct_clay,19.2348335995689
08025,pct_clay,24.934544362183
08027,pct_clay,20.4717770287663
08029,pct_clay,25.6497130076813
08031,pct_clay,24.5872012904963
08033,pct_clay,23.6954833492707
08035,pct_clay,23.8910426332534
08037,pct_clay,22.8881168821755
08039,pct_clay,22.9146541282311
08041,pct_clay,21.4341052020698
08043,pct_clay,22.1345270643805
08045,pct_clay,23.7417387355735
08047,pct_clay,12.8737378021652
08049,pct_clay,21.0800840694367
08051,pct_clay,23.5760034338292
08053,pct_clay,17.7291345879204
08055,pct_clay,22.564759514216
08057,pct_clay,20.769954088108
08059,pct_clay,23.5254020139051
08061,pct_clay,25.2097251970664
08063,pct_clay,22.6518766554868
08065,pct_clay,14.4766561601908
08067,pct_clay,25.0625153692533
08069,pct_clay,24.6048255416248
08071,pct_clay,25.750725995184
08073,pct_clay,24.1985402191385
08075,pct_clay,20.5168362237133
08077,pct_clay,23.3610727475905
08079,pct_clay,17.7419758022612
08081,pct_clay,24.9229833011133
08083,pct_clay,23.6985202168243
08085,pct_clay,26.0435391756545
08087,pct_clay,21.7978455328682
08089,pct_clay,25.4049503281791
08091,pct_clay,23.6242943685723
08093,pct_clay,17.3772158397605
08095,pct_clay,19.1299742860966
08097,pct_clay,22.8736194162467
08099,pct_clay,26.1372717764682
08101,pct_clay,23.8174412570081
08103,pct_clay,23.9970659037223
08105,pct_clay,22.377009600781
08107,pct_clay,26.8215213967782
08109,pct_clay,21.7043624758914
08111,pct_clay,16.0748374762553
08113,pct_clay,23.8008767057585
08115,pct_clay,18.2647487518264
08117,pct_clay,17.464464096008
08119,pct_clay,17.2485678731561
08121,pct_clay,22.2834490192761
08123,pct_clay,23.6155940721746
08125,pct_clay,19.3131873758484
09001,pct_clay,9.64233840370817
09003,pct_clay,12.0977548526344
09005,pct_clay,11.1059100882998
09007,pct_clay,9.51752833761414
09009,pct_clay,10.4584636675169
09011,pct_clay,8.26811824813949
09013,pct_clay,9.40634398773571
09015,pct_clay,7.73352395006954
10001,pct_clay,11.4731172304605
10003,pct_clay,15.3916125136577
10005,pct_clay,9.74233151441709
11001,pct_clay,21.6922890456283
12001,pct_clay,9.75324157227982
12003,pct_clay,6.88302289318305
12005,pct_clay,7.18174515980975
12007,pct_clay,8.19715976328216
12009,pct_clay,8.11963452683714
12011,pct_clay,11.543252469986
12013,pct_clay,11.5506135320246
12015,pct_clay,4.60239342855521
12017,pct_clay,7.83910511505013
12019,pct_clay,6.82899978200486
12021,pct_clay,8.88544047237164
12023,pct_clay,9.83807780081836
12027,pct_clay,5.3971053678494
12029,pct_clay,7.80694385750412
12031,pct_clay,7.83361329673931
12033,pct_clay,19.1301045380277
12035,pct_clay,7.35066105324912
12037,pct_clay,7.58414152715997
12039,pct_clay,15.9192501641966
12041,pct_clay,8.39776507046465
12043,pct_clay,9.11501170006199
12045,pct_clay,7.73112588788828
12047,pct_clay,12.3277047196376
12049,pct_clay,6.50350185582297
12051,pct_clay,10.6769173230472
12053,pct_clay,12.2229707603418
12055,pct_clay,6.951727417209
12057,pct_clay,7.46408307076104
12059,pct_clay,17.6333797013448
12061,pct_clay,7.98472881624109
12063,pct_clay,17.1710538605216
12065,pct_clay,15.911447495063
12067,pct_clay,10.1536565430386
12069,pct_clay,8.59472427480138
12071,pct_clay,6.15475260569542
12073,pct_clay,14.3445797172749
12075,pct_clay,8.10484355599625
12077,pct_clay,13.6978432750209
12079,pct_clay,12.764949583767
12081,pct_clay,8.24596310419196
12083,pct_clay,10.015374590753
12085,pct_clay,10.0251119857933
12086,pct_clay,18.8523554022865
12087,pct_clay,18.4106192078702
12089,pct_clay,8.19761256453012
12091,pct_clay,14.5938289193938
12093,pct_clay,8.12362338708537
12095,pct_clay,7.88991685474216
12097,pct_clay,6.60915604705838
12099,pct_clay,22.7587749326458
12101,pct_clay,10.4343462005813
12103,pct_clay,6.33783382267961
12105,pct_clay,7.34151270194671
12107,pct_clay,8.11298253825218
12109,pct_clay,8.0854432176953
12111,pct_clay,7.41070942919059
12113,pct_clay,17.3967355819527
12115,pct_clay,5.65768274995417
12117,pct_clay,8.23713721312063
12119,pct_clay,10.1632423903334
12121,pct_clay,11.6501275571714
12123,pct_clay,8.24818098199886
12125,pct_clay,8.76322779100682
12127,pct_clay,7.40607599950495
12129,pct_clay,7.60351407072588
12131,pct_clay,14.3956931757702
12133,pct_clay,16.9831710262793
13001,pct_clay,15.0873603619484
13003,pct_clay,13.8139411977257
13005,pct_clay,13.5707735496671
13007,pct_clay,16.847027061781
13009,pct_clay,23.2103268318843
13011,pct_clay,28.0668579973564
13013,pct_clay,26.9053239508733
13015,pct_clay,27.442934098137
13017,pct_clay,18.7595268414431
13019,pct_clay,14.4216455808797
13021,pct_clay,22.8376739217279
13023,pct_clay,20.6058697795983
13025,pct_clay,13.2402530514986
13027,pct_clay,16.5187160283998
13029,pct_clay,18.454095949057
13031,pct_clay,19.5126458618227
13033,pct_clay,21.3485621656268
13035,pct_clay,26.2241113933473
13037,pct_clay,21.3128571373023
13039,pct_clay,14.0728459584091
13043,pct_clay,19.2084366910729
13045,pct_clay,24.4232007282557
13047,pct_clay,26.9462863232061
13049,pct_clay,9.28516929443173
13051,pct_clay,20.1067129601256
13053,pct_clay,22.7833980777056
13055,pct_clay,25.5969762814666
13057,pct_clay,24.655442178333
13059,pct_clay,26.8362576350082
13061,pct_clay,22.0133663217664
13063,pct_clay,25.7294934350238
13065,pct_clay,12.6112478507461
13067,pct_clay,24.6342021656218
13069,pct_clay,14.5406873452849
13071,pct_clay,14.7106113565892
13073,pct_clay,23.2688448796492
13075,pct_clay,14.5705514379409
13077,pct_clay,24.7473824676338
13079,pct_clay,22.8096153968487
13081,pct_clay,21.6552834780271
13083,pct_clay,25.3489600238255
13085,pct_clay,25.2864832044368
13087,pct_clay,17.1867087287913
13089,pct_clay,24.7622426095965
13091,pct_clay,19.0865358805514
13093,pct_clay,24.916782343765
13095,pct_clay,20.1411253892762
13097,pct_clay,23.9966055111122
13099,pct_clay,20.0454373652998
13101,pct_clay,12.3479020322603
13103,pct_clay,20.1810022150129
13105,pct_clay,27.6872530626237
13107,pct_clay,19.3240366680817
13109,pct_clay,18.849597994718
13111,pct_clay,21.5731352401405
13113,pct_clay,25.5079598899538
13115,pct_clay,25.7221042915105
13117,pct_clay,26.7934885510223
13119,pct_clay,28.6084273415162
13121,pct_clay,24.9546180033703
13123,pct_clay,23.309861550408
13125,pct_clay,20.3814777607987
13127,pct_clay,15.1600118271405
13129,pct_clay,27.3693645965459
13131,pct_clay,16.7829046831538
13133,pct_clay,25.7764688601575
13135,pct_clay,24.8461900501366
13137,pct_clay,26.4038678678468
13139,pct_clay,26.9391812122632
13141,pct_clay,23.3148193411975
13143,pct_clay,23.2522163420512
13145,pct_clay,24.0435981781137
13147,pct_clay,28.3145058248147
13149,pct_clay,24.4253640586831
13151,pct_clay,25.9617309189273
13153,pct_clay,22.3894702486937
13155,pct_clay,16.0675171206697
13157,pct_clay,27.9620232769782
13159,pct_clay,25.9794538467062
13161,pct_clay,16.3235823797476
13163,pct_clay,21.7385264302099
13165,pct_clay,21.5836317988195
13167,pct_clay,20.0499629177916
13169,pct_clay,23.6904410676853
13171,pct_clay,25.6142616608146
13173,pct_clay,15.3192319157448
13175,pct_clay,19.7021896994945
13177,pct_clay,21.3001036909023
13179,pct_clay,16.3597701617577
13181,pct_clay,25.5226737163543
13183,pct_clay,16.3459772030676
13185,pct_clay,15.0713340105893
13187,pct_clay,24.9294083288401
13189,pct_clay,22.2249938839129
13191,pct_clay,18.3881378353166
13193,pct_clay,22.4133004148918
13195,pct_clay,27.9835437559755
13197,pct_clay,21.9130375992853
13199,pct_clay,24.8232396320048
13201,pct_clay,17.5754672689973
13205,pct_clay,16.9316138113182
13207,pct_clay,25.5559841305791
13209,pct_clay,20.2367119632415
13211,pct_clay,26.1266363916019
13213,pct_clay,26.8561872449843
13215,pct_clay,24.2986950780706
13217,pct_clay,25.9515553097909
13219,pct_clay,26.0344278254249
13221,pct_clay,25.7037788437171
13223,pct_clay,24.3025355724216
13225,pct_clay,22.2865075409276
13227,pct_clay,24.6538184611489
13229,pct_clay,14.8319800807699
13231,pct_clay,25.691520818404
13233,pct_clay,26.1792562366484
13235,pct_clay,22.178551707775
13237,pct_clay,25.5382989243842
13239,pct_clay,24.1105554105932
13241,pct_clay,21.6614096477749
13243,pct_clay,21.301108572981
13245,pct_clay,22.0524262931869
13247,pct_clay,24.6740828595831
13249,pct_clay,21.6197333898603
13251,pct_clay,20.8417976759648
13253,pct_clay,17.3796207967034
13255,pct_clay,26.2142801859518
13257,pct_clay,27.1590101058643
13259,pct_clay,22.5476088096226
13261,pct_clay,21.3671097115227
13263,pct_clay,23.5455099287145
13265,pct_clay,25.6518440408554
13267,pct_clay,18.5063168969835
13269,pct_clay,22.4031447404224
13271,pct_clay,20.0633887502525
13273,pct_clay,20.7156112506379
13275,pct_clay,15.3897035450302
13277,pct_clay,14.6259104637364
13279,pct_clay,20.1170927275108
13281,pct_clay,22.5075622208107
13283,pct_clay,19.4616827859792
13285,pct_clay,24.6519282430785
13287,pct_clay,19.0101689213756
13289,pct_clay,23.0876440375572
13291,pct_clay,22.3152305296301
13293,pct_clay,24.4041099710825
13295,pct_clay,26.030067566848
13297,pct_clay,25.3594115352199
13299,pct_clay,13.4902295799168
13301,pct_clay,23.0422466310519
13303,pct_clay,20.7232855628824
13305,pct_clay,15.1573822679835
13307,pct_clay,21.5116449707705
13309,pct_clay,19.6844859088568
13311,pct_clay,25.9146324991234
13313,pct_clay,26.4122772204573
13315,pct_clay,20.5526953571056
13317,pct_clay,25.9520163493203
13319,pct_clay,23.2532763653804
13321,pct_clay,17.9658326270625
